environment,file,label,inferred_state,confidence,correct,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,duration,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,pitch_delta,energy_delta,speech_rate_delta,spectral_centroid_delta,thickness_score_delta,pitch_std_delta,pitch_velocity_delta,main_freq_velocity_mean_delta,main_freq_jump_ratio_delta,main_freq_smoothness_delta
outside,happy_1.wav,happy,tired,0.65,False,109.97926581529809,64.94589427785748,18.814126909688067,0.0756230279803276,2.9694398753354685,992.853271431012,4.714693877551021,1785.0392061121324,1491.4172317460932,0.037355909160539214,0.47013425827026367,0.29277971386909485,0.13253508508205414,0.5505889872484718,32.88321659482759,0.09359605911330049,0.01675100331530274,-13.2299378031759,0.0089730837692817,-0.31034679581128133,-78.54031860785881,0.11842809870799614,1.1129960974689865,8.900350692953419,-4.407682168609647,-0.036371599708196756,2.2740560576169078e-05
outside,happy_13.wav,happy,stressed,0.95,False,162.46441291880444,75.68101753655955,17.1685821451193,0.10601615160703659,3.4765221878224972,1053.8980046023755,6.328163265306123,1772.9398287259614,1278.4662817669173,0.05598421760531135,0.4865734279155731,0.2915559411048889,0.17744609713554382,0.433249720483692,45.68929173693086,0.09106239460370995,0.011527012785345896,39.25520930033045,0.039366207395990685,0.1967355166757474,-17.495585436495276,0.0010888319432162952,11.848119356171061,7.25480592838465,8.398392973493628,-0.0389052642177873,-0.0052012499693806745
outside,happy_14.wav,happy,stressed,0.95,False,179.1718101998797,86.12586037622427,19.773029905413033,0.1036839634180069,3.5555340557275543,1249.3824030382063,4.218775510204082,2238.8023963341348,1659.8631949503756,0.04836667239010989,0.4134097397327423,0.36764076352119446,0.1865437626838684,0.30988449090709197,37.85601265822785,0.09367088607594937,0.014011099529036805,55.96260658140571,0.03703401920696099,0.2757473845808045,177.98881299933555,-0.12227639763338372,22.292962195835777,9.859253688678384,0.5651138947906134,-0.03629677274554788,-0.0027171632256897654
outside,happy_15.wav,happy,happy,0.85,True,148.90747027419246,76.05242428466863,22.81758546092253,0.08567206561565399,3.6298497634684366,1223.0686158768272,5.23437641723356,1908.9756248271572,1566.781666073247,0.059008573008849555,0.4575786590576172,0.3047451376914978,0.19040732085704803,0.31216562116497587,46.588010204081634,0.10612244897959183,0.011458296720677656,25.69826665571847,0.019022121404608086,0.35006309232168675,151.67502583795635,-0.11999526737549981,12.219526104280142,12.903809244187881,9.2971114406444,-0.023845209841905413,-0.005269966034048914
outside,happy_16.wav,happy,happy,0.8,True,160.70496611084639,81.82492116246242,21.96970349057627,0.09118618071079254,4.266640866873065,1172.3657932990036,4.687528344671202,1921.785078898515,1516.602559817114,0.05615234375,0.35195815563201904,0.41643500328063965,0.18739810585975647,0.260782197068934,45.4869020501139,0.10933940774487472,0.011726260096079032,37.49576249237239,0.024536236499746636,0.9868541957263148,100.9722032601328,-0.17137869147154167,17.992022982073927,12.05592727384162,8.196003286676664,-0.020628251076622528,-0.005002002658647538
outside,happy_17.wav,happy,happy,0.95,True,140.26417422931726,70.99521330030448,20.48598853025336,0.0984225869178772,3.7101224929331003,896.7817321278778,5.390657596371882,1469.1097144916846,1234.7913476101417,0.04360582081545064,0.482852578163147,0.2721041440963745,0.17788159847259521,0.5333243659550587,43.7654702970297,0.09108910891089109,0.012173196324491766,17.05497061084327,0.03177264270683129,0.43033582178635044,-174.61185791099297,0.10116347741458304,7.162315119915995,10.57221231351871,6.474571533592467,-0.03887854991060616,-0.004555066430234804
outside,happy_18.wav,happy,stressed,0.95,False,156.04040212211615,89.61359564565737,15.294677687656142,0.09714902937412262,3.318498452012384,991.4200258027951,4.218775510204082,1650.3070537860576,1552.1515966096988,0.04373336624313187,0.46567976474761963,0.35945188999176025,0.1352645605802536,0.6041980188056223,37.55933544303797,0.10379746835443038,0.013725114521101492,32.831198503642156,0.030499085163076714,0.03871178086563409,-79.97356423607573,0.1720371302651466,25.78069746526888,5.3809014709214935,0.2684366796007396,-0.026170190467066867,-0.0030031482336250782
outside,happy_19.wav,happy,happy,0.95,True,137.9380489806638,76.33515835079278,25.894686385284565,0.08668128401041031,4.4912009124979635,1006.352758447562,4.453151927437641,1720.3571319580078,1513.0456655627743,0.040326436360677086,0.5236549377441406,0.2543984353542328,0.14335700869560242,0.5912836142301094,31.362410071942445,0.07194244604316546,0.017405584640408363,14.728845362189816,0.020031339799364403,1.2114142413512137,-65.0408315913088,0.15912272568963376,12.502260170404291,15.980910168549917,-5.928488691494788,-0.05802521277833178,0.0006773218856817934
outside,happy_2.wav,happy,happy,0.75,True,119.60506663077375,73.85110431712258,15.719021321901204,0.07438168674707413,3.3642207620481313,1425.1371085665,4.458684807256236,2607.9721401392485,1730.098476716878,0.06615831444300518,0.430863618850708,0.1910647451877594,0.2649976313114166,-0.11580821083042137,41.04766845703125,0.14322916666666666,0.012779607683457584,-3.604136987700244,0.007731742536028222,0.08443409090138143,353.74351852762925,-0.547969099370897,10.018206136734086,5.805245105166556,3.7567696935940162,0.013261507845169412,-0.003948655071268986
outside,happy_20.wav,happy,happy,0.75,True,169.3286278732257,84.53261168905026,15.510346765688567,0.10625559836626053,4.266640866873065,1243.101825971445,4.687528344671202,2183.061716816213,1730.8731390255011,0.05105681466584158,0.4206189811229706,0.33853331208229065,0.19422271847724915,0.27646806514191735,46.981776765375855,0.16173120728929385,0.011159093514732295,46.11942425475172,0.03960565415521462,0.9868541957263148,171.7082359325741,-0.15569282339855833,20.699713508661766,5.596570548953919,9.690878001938621,0.03176354846779661,-0.005569169239994275
