environment,file,label,main_freq_mean,main_freq_std,main_freq_velocity,main_freq_range
outside,stressed_intense_5.wav,stressed,270.6230163574219,194.07352939597678,67.86904859293193,839.794921875
outside,stressed_intense_4.wav,stressed,339.7087097167969,567.0048911170654,154.96014500163614,4618.8720703125
outside,stressed_20.wav,stressed,498.8347723932549,1284.5171742932687,279.02103253264926,8903.9794921875
outside,stressed_intense_6.wav,stressed,393.7660217285156,564.3192202093319,135.11803112729058,4166.6748046875
outside,stressed_intense_7.wav,stressed,315.08413461538464,691.2687857694366,106.46459227467811,4608.10546875
outside,stressed_intense_3.wav,stressed,518.2188789799528,1050.7727470051846,197.93197848785545,7288.9892578125
outside,stressed_19.wav,stressed,298.49281311035156,321.36243820744625,80.10126083933245,1981.0546875
outside,tired_1.wav,tired,107.85601447610294,122.83573891646908,25.78902793141593,1335.05859375
outside,stressed_18.wav,stressed,207.16834435096155,184.79387456365842,47.64667321305249,839.794921875
outside,stressed_intense_2.wav,stressed,357.4816433888561,715.9817831098383,153.94709437944312,5620.166015625
outside,tired_3.wav,tired,110.443115234375,56.322817228290745,13.254501525149402,172.265625
outside,tired_2.wav,tired,113.39944979039635,140.1966503977669,25.0048828125,1485.791015625
outside,stressed_intense_1.wav,stressed,399.6339042231722,990.8833471112332,100.1651131146327,5835.498046875
outside,happy_16.wav,happy,319.64014638768566,756.0201254327494,170.65866954291045,6416.89453125
outside,happy_17.wav,happy,309.3665127078863,795.8880445247754,109.05824858566811,6287.6953125
outside,happy_15.wav,happy,343.14969493224555,817.7410499557996,142.6455078125,5803.1982421875
outside,tired_18.wav,tired,262.7420449973176,874.4473576726106,103.16446238550647,8936.279296875
outside,tired_19.wav,tired,270.0587095479249,778.2736805755462,167.352294921875,6675.29296875
outside,happy_14.wav,happy,326.6066331129808,614.0628267773502,87.91733209599448,4478.90625
outside,tired_21.wav,tired,170.13199969035824,375.65884135036026,54.19518706995413,5146.435546875
outside,tired_20.wav,tired,345.17886513157896,1014.8635080838028,135.82169442806602,8107.2509765625
outside,happy_13.wav,happy,335.97318209134613,754.9575272533848,212.52163157743567,6029.296875
outside,stressed_3.wav,stressed,147.1435546875,493.5451143611384,84.35128850044964,8085.7177734375
outside,tired_13.wav,tired,169.71354166666666,114.65823073461225,22.13357124186803,775.1953125
outside,stressed_2.wav,stressed,117.54320227581522,84.07615123476523,15.562205751910481,689.0625
outside,happy_20.wav,happy,312.2847453202352,602.6207514869016,133.2166073927239,6621.4599609375
outside,happy_21.wav,happy,406.2631197064836,1131.4845355261516,201.63367902728874,9366.943359375
outside,stressed_1.wav,stressed,141.0174418604651,121.31554802499778,30.53891190858645,753.662109375
outside,happy_19.wav,happy,179.10690307617188,147.60064242740233,34.32911178828534,882.861328125
outside,tired_14.wav,tired,189.53413529829547,421.3406004068458,55.30596307512215,4382.0068359375
outside,tired_15.wav,tired,228.88060704173657,597.1799677637001,106.21596827651516,6470.7275390625
outside,happy_18.wav,happy,240.00056340144232,188.01294005202962,61.268506129143645,872.0947265625
outside,stressed_4.wav,stressed,269.3152707122093,866.229557757561,84.72409827686916,5996.9970703125
outside,tired_17.wav,tired,235.9985729489164,621.8245477627152,91.04800016983695,7385.888671875
outside,tired_16.wav,tired,246.6796875,569.5446248308969,94.21695019197952,4112.841796875
outside,stressed_16.wav,stressed,389.67859604779414,951.8494093260332,132.10665545886076,6653.759765625
outside,stressed_17.wav,stressed,280.335847509599,632.014353026806,106.92857716181507,8925.5126953125
outside,stressed_15.wav,stressed,370.4383850097656,556.8184362010534,104.84753354057591,3908.2763671875
outside,stressed_14.wav,stressed,249.169921875,187.45096996124593,49.847580714779006,796.728515625
outside,happy_1.wav,happy,157.9629337086397,186.00551813142283,49.85519935344828,1022.8271484375
outside,stressed_13.wav,stressed,229.4782835271861,201.80371426050266,76.0451858108108,850.5615234375
outside,stressed_intense_9.wav,stressed,240.54058028990963,177.0264119644866,40.027446131552416,732.12890625
outside,happy_2.wav,happy,285.7891181590026,999.7171760211398,194.97642517089844,8118.017578125
outside,happy_3.wav,happy,154.07821837649402,151.1848363213817,50.08623046875,882.861328125
outside,stressed_intense_8.wav,stressed,267.3226259608957,210.97339606908727,44.16622038810484,839.794921875
cafe,stressed_intense_5.wav,stressed,396.16843775699016,206.5294022448633,82.42510865066225,1485.791015625
cafe,stressed_intense_4.wav,stressed,414.94056021813117,557.5904363253475,143.9832089552239,4306.640625
cafe,stressed_20.wav,stressed,327.1476745605469,176.8270895788056,56.82059882198953,785.9619140625
cafe,stressed_intense_6.wav,stressed,451.7985026041667,401.618111483235,134.4153362771739,4134.375
cafe,tired_4.wav,tired,248.11153600711634,502.5290511720443,105.41627798507463,4489.6728515625
cafe,stressed_21.wav,stressed,383.0446157882463,480.10268450071715,124.8387451171875,4532.7392578125
cafe,stressed_intense_7.wav,stressed,529.0424053485577,948.0098529653562,217.53293875172653,8161.083984375
cafe,stressed_intense_3.wav,stressed,622.8927612304688,1394.6706081454124,212.34444024051047,8742.48046875
cafe,stressed_19.wav,stressed,485.16167534722223,810.3626183166823,169.45694633152175,5028.0029296875
cafe,tired_1.wav,tired,142.5322776617006,30.37750525821492,6.548108552631579,107.666015625
cafe,stressed_18.wav,stressed,447.45762037194294,548.3500263571832,124.5513415727459,4349.70703125
cafe,stressed_intense_2.wav,stressed,375.4704402043269,361.12993190931945,134.07690564571823,4242.041015625
cafe,tired_3.wav,tired,222.8403191817434,70.43954012820059,22.032317104718544,462.9638671875
cafe,tired_2.wav,tired,177.2426389298349,56.12395522011235,25.156088010959717,344.53125
cafe,stressed_intense_1.wav,stressed,376.587741657839,515.1098818986264,112.68227317116477,4812.6708984375
cafe,happy_16.wav,happy,242.73372535541844,206.1652589943938,54.482716527478445,947.4609375
cafe,happy_17.wav,happy,286.9424509447674,198.70458748746955,71.90326891447368,893.6279296875
cafe,happy_15.wav,happy,258.444646090397,170.10481128502326,57.54562904094828,818.26171875
cafe,tired_18.wav,tired,242.5683352026609,104.9407310458537,31.65702250466418,452.197265625
cafe,tired_19.wav,tired,479.4751925518993,1052.2359623625505,208.72698844747342,8710.1806640625
cafe,happy_14.wav,happy,262.36196664663464,184.8748059848243,64.12373748273481,882.861328125
cafe,tired_21.wav,tired,322.41174678991337,480.74705689232877,118.75400827891791,4134.375
cafe,tired_20.wav,tired,397.17706600522814,905.3092693270044,187.3470859673187,9011.6455078125
cafe,happy_13.wav,happy,244.97809611575704,161.25209559561102,40.92835771276596,764.4287109375
cafe,tired_22.wav,tired,292.28156594669116,461.66758037703306,95.39844011813003,5167.96875
cafe,stressed_3.wav,stressed,183.208728227459,69.85698656833839,30.075300232438018,355.2978515625
cafe,stressed_2.wav,stressed,220.87846235795453,97.09393162090865,34.02574844942748,581.396484375
cafe,happy_20.wav,happy,329.9785907451923,319.98422021277355,102.07452089088397,3552.978515625
cafe,happy_21.wav,happy,412.73665518130895,520.5809681538063,177.47033286433648,5878.564453125
cafe,stressed_1.wav,stressed,160.23627387152777,64.93531305729975,25.34498131793478,398.3642578125
cafe,happy_19.wav,happy,353.1046549479167,557.9084076013694,147.52250339673913,6847.55859375
cafe,tired_14.wav,tired,349.5041646230381,669.2229798723592,78.2761032516892,5297.16796875
cafe,tired_15.wav,tired,290.2994791666667,309.2082620026156,107.48805526859505,4349.70703125
cafe,happy_18.wav,happy,319.24095153808594,231.18652398525543,78.57928051374346,893.6279296875
cafe,tired_17.wav,tired,318.9927241094283,596.3863358217486,143.32116531999145,8053.41796875
cafe,tired_16.wav,tired,454.4639185855263,1017.0217051753964,162.6693062160326,8279.5166015625
cafe,stressed_16.wav,stressed,490.4582395391949,363.0407338335837,136.54008345170453,4091.30859375
cafe,stressed_17.wav,stressed,386.5361603213028,180.7085437470167,70.70831948138297,893.6279296875
cafe,stressed_15.wav,stressed,550.560101259102,1077.604744848593,294.6897627667683,9087.01171875
cafe,stressed_14.wav,stressed,420.0968424479167,200.69321332174056,101.58054517663044,979.7607421875
cafe,happy_1.wav,happy,156.34479928523936,72.09174722543709,24.872576871657753,592.1630859375
cafe,stressed_13.wav,stressed,669.32373046875,1204.4879956556765,223.6243206521739,9829.9072265625
cafe,stressed_intense_9.wav,stressed,383.44551394338566,161.62423775681884,73.66877375422297,818.26171875
cafe,happy_2.wav,happy,231.55775473151408,90.85359385392576,44.211789394946805,409.130859375
cafe,happy_3.wav,happy,249.50783469460228,64.23830133900978,28.10822697996183,322.998046875
cafe,stressed_intense_8.wav,stressed,375.50184461805554,176.29650436248323,68.01014775815217,893.6279296875
