environment,file,label,main_freq_mean,main_freq_std,main_freq_velocity_mean,main_freq_velocity_std,main_freq_range,main_freq_jump_count,main_freq_jump_ratio,main_freq_smoothness,peak_energy_mean,num_frames
outside,happy_1.wav,happy,174.59353885135135,199.79121898994921,32.88321659482759,85.67548944604287,990.52734375,38,0.09359605911330049,0.01675100331530274,34.45213334478383,407
outside,happy_13.wav,happy,239.03093434343435,201.37044279122765,45.68929173693086,150.96400271288852,1851.5625,54,0.09106239460370995,0.011527012785345896,51.66124260867083,594
outside,happy_14.wav,happy,244.43655303030303,171.98400227876704,37.85601265822785,98.5342882888732,890.625,37,0.09367088607594937,0.014011099529036805,52.82755461215474,396
outside,happy_15.wav,happy,219.8637983706721,207.89445161488226,46.588010204081634,145.82972925972325,1851.5625,52,0.10612244897959183,0.011458296720677656,41.125519740909276,491
outside,happy_16.wav,happy,223.0291193181818,201.6971359161935,45.4869020501139,137.07643742362274,1593.75,48,0.10933940774487472,0.011726260096079032,40.04220126037994,440
outside,happy_17.wav,happy,222.3320158102767,214.17152752498203,43.7654702970297,112.77479825354523,960.9375,46,0.09108910891089109,0.012173196324491766,46.09338855654325,506
outside,happy_18.wav,happy,247.81013257575756,197.88391187370152,37.55933544303797,92.07813154068425,1054.6875,41,0.10379746835443038,0.013725114521101492,47.39285994302999,396
outside,happy_19.wav,happy,189.7428229665072,161.26790022511517,31.362410071942445,83.42512561482798,843.75,30,0.07194244604316546,0.017405584640408363,41.376035219592566,418
outside,happy_2.wav,happy,158.78639914772728,121.2956643811086,41.04766845703125,106.7346293805412,947.4609375,55,0.14322916666666666,0.012779607683457584,33.316691001669156,385
outside,happy_20.wav,happy,251.10085227272728,213.3559225407687,46.981776765375855,109.20066111594103,867.1875,71,0.16173120728929385,0.011159093514732295,49.55914090229437,440
outside,happy_21.wav,happy,263.3449570815451,189.96719460176283,54.98991935483871,103.24438604686992,890.625,91,0.1956989247311828,0.009884841068958218,44.72732769788738,466
outside,happy_3.wav,happy,169.9064095181773,165.8819494571288,40.788442645958085,103.12788641084404,947.4609375,62,0.12375249500998003,0.013169062990303248,30.75643652368827,502
outside,stressed_1.wav,stressed,143.5546875,117.0653049440485,27.318993684287385,52.37538390978853,732.12890625,42,0.09813084112149532,0.020659746568836276,36.739053424421726,429
outside,stressed_13.wav,stressed,241.00916838842974,221.57610925563415,40.37267080745342,100.71438776154854,1101.5625,47,0.09730848861283643,0.01311091919240002,36.24230031537716,484
outside,stressed_14.wav,stressed,253.66950757575756,202.02123853629493,41.35680379746835,124.76363021662907,1429.6875,52,0.13164556962025317,0.012973088661100696,55.45509147681672,396
outside,stressed_15.wav,stressed,304.01465311004785,235.24711257659948,42.71582733812949,107.09624414230152,890.625,47,0.11270983213429256,0.012519373429435576,54.158070506238374,418
outside,stressed_16.wav,stressed,224.53759671179884,173.31186422510203,34.520348837209305,79.21626222634956,867.1875,53,0.10271317829457365,0.01562855625521584,39.63641166387259,517
outside,stressed_17.wav,stressed,226.77067006269593,189.30022987408066,38.8907967032967,116.2939723174572,1335.9375,56,0.08791208791208792,0.013373179520741834,44.90832394524988,638
outside,stressed_18.wav,stressed,226.91761363636363,208.0502270527279,24.68354430379747,72.96122139946992,820.3125,24,0.060759493670886074,0.021724521760706324,40.04088714989043,396
outside,stressed_19.wav,stressed,287.6981160287081,296.1871544649769,57.272931654676256,183.62726305468357,1898.4375,68,0.1630695443645084,0.009061564454052994,47.69309792464346,418
outside,stressed_2.wav,stressed,129.4800866168478,92.7587598489382,15.66904105392157,48.96067262891252,667.529296875,25,0.054466230936819175,0.03363989435314974,34.05575499560522,460
outside,stressed_20.wav,stressed,249.66264204545453,189.94038775413955,46.18095102505695,93.5938092021992,820.3125,65,0.1480637813211845,0.01193596680820189,38.39479332732153,440
outside,stressed_3.wav,stressed,130.62961105812388,131.49370316871676,27.342520514838128,90.50256074756264,861.328125,45,0.08093525179856115,0.01876156256561199,27.862031081848556,557
outside,stressed_4.wav,stressed,135.30863917151163,110.63660900453675,31.772768247377623,92.21134848640614,947.4609375,40,0.09324009324009325,0.01680334748053689,27.64697523616081,430
outside,stressed_intense_1.wav,stressed,250.35511363636363,233.14976841985543,41.53674078091106,109.51397359664584,1054.6875,48,0.10412147505422993,0.01252797943777288,40.0269793621854,462
outside,stressed_intense_2.wav,stressed,245.0791396103896,213.15972470119664,56.58554772234273,122.9284466968722,890.625,72,0.1561822125813449,0.009455778816999846,38.817783774736235,462
outside,stressed_intense_3.wav,stressed,276.93790584415586,206.5670568854045,31.82619305856833,80.06628605064861,914.0625,41,0.08893709327548807,0.016723091954284158,55.57578224172661,462
outside,stressed_intense_4.wav,stressed,269.1387559808612,258.68364632840365,55.58678057553957,119.86809426183618,1242.1875,65,0.15587529976019185,0.009647691134734298,39.8680140181566,418
outside,stressed_intense_5.wav,stressed,289.38023325358853,244.29344308511514,60.75764388489208,155.68141592138946,1781.25,66,0.15827338129496402,0.00847729623157691,53.18991908616816,418
outside,stressed_intense_6.wav,stressed,310.6870514354067,222.68313288308826,53.507194244604314,110.17465927455564,820.3125,64,0.15347721822541965,0.009840243877198014,53.97002896868666,418
outside,stressed_intense_7.wav,stressed,209.6482072691552,170.85341486990254,35.5714812992126,78.87159026289864,750.0,51,0.10039370078740158,0.015205618881059896,43.10481421365965,509
outside,stressed_intense_8.wav,stressed,265.2986793611794,210.01884782958027,29.03709975369458,64.6778729913789,843.75,36,0.08866995073891626,0.01837750457310588,67.92268563961697,407
outside,stressed_intense_9.wav,stressed,246.41866913123846,186.66185532809675,33.28993055555556,88.40892273950891,1101.5625,54,0.1,0.015719326897838958,55.63410532625341,541
outside,tired_1.wav,tired,121.01723582474227,139.4090445320918,34.141878111172566,137.2995620267095,1313.525390625,55,0.08112094395280237,0.015288470058704807,22.0902966106412,679
outside,tired_13.wav,tired,173.98144197952217,136.02023967642572,24.23878205128205,102.70399676683468,1734.375,30,0.05128205128205128,0.022052350732442962,42.068346683258575,586
