start_sec,end_sec,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range,z_pitch_velocity,z_main_freq_velocity,z_jump_ratio,z_smoothness,z_main_freq_std,z_main_freq_range,z_energy,z_speech_rate,z_low_band,z_low_mid_band,z_high_band,neutral_like_score
0.0,2.5,52.50612066103413,6.735832767586511,2.8915446803785843,0.02890877053141594,1.6,1126.1016711831955,1738.065159574468,2560.367881140639,0.012701545877659575,0.40805545449256897,0.21828538179397583,0.12395229935646057,0.44811485920970284,17.427884615384617,0.038461538461538464,0.030879332052216553,28.85159504106377,164.0625,-1.4455859866311591,-1.6809341165628893,-2.1324774618763502,2.67901262304692,-2.7931805930638642,-1.6713409575814278,-2.1467641204435295,-2.610809631915564,-1.7321996966525266,-0.37817137853521526,-0.6280310838455402,1.4642259404468014
1.0,3.5,66.5562014282155,29.065011342002254,6.06695647221086,0.05874311551451683,6.0,1287.8283984504874,1832.712765957447,2714.827313515288,0.01770279255319149,0.49966686964035034,0.20216712355613708,0.1363774687051773,0.5303880806421521,18.629807692307693,0.05982905982905983,0.02761931574034287,87.22230983793865,328.125,-0.3532891023758933,-1.5718525591024792,-1.5988927609122354,2.0789075757573725,-1.433598963618274,-1.1327182292816316,-0.8353116730358636,-0.1822689123559535,-0.08596283738739677,-0.8159498051193619,-0.09001360630349536,3.6393303536585875
2.0,4.5,77.42864714634378,28.228945821848615,5.867543027611001,0.07440318167209625,5.2,1423.5270816240522,1947.8058510638298,2931.9763875804174,0.01901595744680851,0.523626983165741,0.22633464634418488,0.1305512934923172,0.565043313510355,23.13701923076923,0.10256410256410256,0.022045735439347614,93.13280028156866,398.4375,-0.4218845156622281,-1.1627967186259414,-0.5317233589840067,1.0529207860843866,-1.2959307124046824,-0.9018799171531473,-0.14692947122930344,-0.6238217704577008,0.34459510098793095,-0.15955009092749417,-0.34229057764833415,2.114184810134977
3.0,5.5,80.66529832180407,23.88322571678512,6.779758669356773,0.07382788509130478,4.0,1564.2949009105844,2302.8590425531916,3130.004699421095,0.020048620345744683,0.5361948609352112,0.22016368806362152,0.12666970491409302,0.508956980402686,21.434294871794872,0.08547008547008547,0.023900806523996974,86.46717171131459,398.4375,-0.10809519680576703,-1.317328925028189,-0.9585911197552982,1.3944029795704513,-1.4511877823988004,-0.9018799171531473,-0.17221824861964324,-1.2861510576103221,0.5704370835996552,-0.32715581896077794,-0.510365751281913,1.6080208440719097
4.0,6.5,75.67825627388383,20.903389760542368,4.136084989945041,0.07087717205286026,4.8,1336.2269625999995,1907.912234042553,2843.6088810940987,0.016788563829787235,0.5617642998695374,0.23623627424240112,0.09583572298288345,0.7214991649228172,22.736378205128204,0.07692307692307693,0.023843482376417466,88.90964059941788,421.875,-1.0174816676996232,-1.1991572377794113,-1.172025000140944,1.3838507285989639,-1.394297339266255,-0.8249338131103192,-0.3019251296675665,-0.8445981995085747,1.0299142434766693,0.10938213598811275,-1.8454961399006953,1.4731079684164454
5.0,7.5,78.69722341767356,33.81423799733244,9.847830036071553,0.06685736030340195,6.8,1683.8764085273806,2583.1117021276596,2820.107878561631,0.033537649601063826,0.5260043144226074,0.19707930088043213,0.13969972729682922,0.3214515701281514,28.14503205128205,0.09401709401709402,0.018377840110819166,107.3788781933487,468.75,0.9472780946694828,-0.7082902292075657,-0.7451572393696525,0.37773321369012836,-0.964108395547536,-0.6710416050246631,-0.4786272479789055,0.2592839457457938,0.3873152176395886,-0.9541371311221445,0.05384223477665503,-0.09195631127808757
6.0,8.5,77.80277032929685,34.47794775449339,9.806836390219111,0.06219547986984253,6.4,2039.3753842140932,3291.5226063829787,2976.3065049943402,0.04555144614361702,0.48164740204811096,0.19541087746620178,0.16630685329437256,-0.015591629597484502,30.64903846153846,0.1111111111111111,0.01685139313287649,102.95094549563947,468.75,0.933176858491529,-0.481036984498378,-0.318289478598361,0.0967442712278154,-1.0672446338680102,-0.6710416050246631,-0.683553299064541,0.03850751669492039,-0.4097686828360832,-0.9994521872764904,1.20594716084111,-1.34036339249021
7.0,9.5,62.44905273853879,15.563975260688151,4.490411006202427,0.04188205301761627,4.4,1856.7835070906654,3018.351063829787,2870.4728618085824,0.038528507313829785,0.4109390377998352,0.18689100444316864,0.18312780559062958,-0.07827364562516231,24.739583333333332,0.08547008547008547,0.02058497098336306,81.50755093579879,398.4375,-0.895598513973221,-1.0173546420120612,-0.9585911197552982,0.7840227073402124,-1.5667081990816023,-0.9018799171531473,-1.5764870428983173,-1.065374628559448,-1.6803823426740327,-1.2308553917470677,1.9343047445727108,-1.8255343907535075
8.0,10.5,64.49250521369372,25.77569075387805,5.943938771388102,0.05071626231074333,9.2,1105.4525828927697,1679.5212765957447,2402.026248661515,0.01293218085106383,0.4894029498100281,0.23797322809696198,0.11751089990139008,0.6511712930266792,23.13701923076923,0.09401709401709402,0.021614350815756214,122.04993952049617,398.4375,-0.3956054569547146,-1.1627967186259414,-0.7451572393696525,0.9735113398808756,-0.6223872853252014,-0.9018799171531473,-1.1881545554599138,1.5839425200510358,-0.2704032056314847,0.15655850667770896,-0.9069476434025859,-0.564290228240315
9.0,11.5,75.7079441856573,25.343367484206325,3.814356494296193,0.07213620096445084,4.8,1202.6527723802608,1889.7606382978724,2518.210827187428,0.014530003324468086,0.5603211522102356,0.19927938282489777,0.12459452450275421,0.6857823884219677,27.84455128205128,0.10683760683760683,0.01886611033233301,149.6258623063543,539.0625,-1.1281517339497054,-0.7355606185726683,-0.42500641879118384,0.46761418247682596,0.019916276745792005,-0.44020329289617893,-0.24658097686656696,-0.8445981995085747,1.0039811993656016,-0.894382013801633,-0.6002223398738807,-0.6305952426610373
10.0,12.5,80.30892352251342,19.825272065401897,2.902445894779874,0.07749725133180618,4.8,1770.8864790131681,3044.182180851064,2930.651847486871,0.030182014627659574,0.5396334528923035,0.19422709941864014,0.14454762637615204,0.2821816571635085,31.25,0.14102564102564102,0.016298835297820995,143.09329373277666,539.0625,-1.4418361225802179,-0.42649620576817276,0.42872910275139947,-0.004970786003173234,-0.13224153486636334,-0.44020329289617893,-0.01092094716166211,-0.8445981995085747,0.6322278202082582,-1.031604078841908,0.2637592476425635,-0.8104661290874884
11.0,13.5,70.83863843732134,15.781479497000495,3.852183956250582,0.058840177953243256,6.0,1736.0423662467874,2985.2393617021276,2832.577703441954,0.030950797872340424,0.4974454343318939,0.2288496494293213,0.1363218128681183,0.25807125228702965,32.25160256410256,0.1452991452991453,0.015583460130085106,132.81676473726878,539.0625,-1.1151396203906567,-0.3355949078844978,0.5354460429442227,-0.13665731999391098,-0.3716043743549332,-0.44020329289617893,-0.8310450208639715,-0.1822689123559535,-0.12588153834136329,-0.09124158778659115,-0.09242353829110872,-0.276251553311852
12.0,14.5,78.56183301633146,22.370575428044564,5.219336258193543,0.0710034966468811,6.0,1538.0513133713243,2410.6715425531916,2761.4923834468027,0.025594248670212767,0.5219233632087708,0.23989275097846985,0.12338951230049133,0.4714130664467363,36.95913461538461,0.1282051282051282,0.013789379071066345,144.87240825511344,609.375,-0.6448585048654712,0.09164119216877521,0.10857828217293049,-0.46691244627729506,-0.09080206595346148,-0.20936498076769477,-0.2963721772534862,-0.1822689123559535,0.31398142732270146,0.2086935261357085,-0.6524001096308633,-1.1671023526250925
