start_sec,end_sec,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range,z_pitch_velocity,z_pitch_std,z_main_freq_velocity,z_main_freq_std,z_main_freq_range,z_jump_ratio,z_smoothness,z_energy,z_speech_rate,z_centroid,z_low_band,z_low_mid_band,z_high_band,baseline_like_score
27.0,29.5,53.51804450494609,13.9403845913562,4.059278790184154,0.027177684009075165,7.2,1155.4738337259837,1607.6130319148936,2659.7332107636344,0.011486037234042554,0.40100669860839844,0.23721566796302795,0.11998317390680313,0.47721244296085596,14.923878205128204,0.029914529914529916,0.034287396070929295,23.656948530706952,93.75,-1.043901917478281,-1.7826463634723229,-1.9081873612720772,-2.914175273213351,-1.902179269709912,-2.3459113422619957,3.3063703487326377,-2.2228588916772924,0.4800603747966677,-1.4296426315437065,-1.8588642802064956,0.13598286639556267,-0.7998966578703465,4.9876832779390545
112.0,114.5,66.48361523561051,17.352333585603333,3.4295337084170825,0.05897241085767746,4.8,1041.9532138247196,1516.8550531914893,2211.0136200009115,0.01328125,0.5269662737846375,0.2684551477432251,0.09581175446510315,0.8158631959821617,17.127403846153847,0.05128205128205128,0.032816034787813704,79.83858055262642,398.4375,-1.2605253464327777,-1.4079388903179828,-1.708204505927992,-1.6055821700608202,-0.9018799171531473,-1.8123266412978816,3.0355216020045557,-0.8252323520674455,-0.8445981995085747,-1.778240353629059,0.4046014145216521,0.9844597988085616,-1.8465339914675163,3.5689523870374873
119.0,121.5,57.88433397950332,11.208021625519986,2.4447624044202074,0.041664060205221176,4.4,1113.0680022957108,1547.872340425532,2519.8760079967337,0.01298828125,0.4891853630542755,0.21879391372203827,0.1013219803571701,0.6585623929554932,19.130608974358974,0.021367521367521368,0.02739102003629604,58.574203111238056,445.3125,-1.5992727900955421,-2.082720258010392,-1.5264019101606416,-2.100876034998323,-0.7479877090674912,-2.5593452226476416,2.0368828153983416,-1.5860695293747178,-1.065374628559448,-1.559861936658371,-0.27431319148674044,-0.36435944525744024,-1.607937820104837,3.4782656026906507
1.0,3.5,66.5562014282155,29.065011342002254,6.06695647221086,0.05874311551451683,6.0,1287.8283984504874,1832.712765957447,2714.827313515288,0.01770279255319149,0.49966686964035034,0.20216712355613708,0.1363774687051773,0.5303880806421521,18.629807692307693,0.05982905982905983,0.02761931574034287,87.22230983793865,328.125,-0.3532891023758933,-0.12162778385910536,-1.5718525591024792,-1.433598963618274,-1.1327182292816316,-1.5988927609122354,2.0789075757573725,-0.8353116730358636,-0.1822689123559535,-1.023209863552395,-0.08596283738739677,-0.8159498051193619,-0.09001360630349536,3.3230958207538266
117.0,119.5,66.63066783203134,18.24460817050741,3.617347356868186,0.05899886414408684,6.4,1285.6740868247641,1947.7061170212767,2639.0248265984906,0.016373005319148936,0.5459379553794861,0.2023329883813858,0.10166919976472855,0.6505431884635496,20.93349358974359,0.06837606837606838,0.026028430195213226,88.59482278285145,398.4375,-1.1959200994687675,-1.3099474034484617,-1.3627795739700264,-1.401630134855882,-0.9018799171531473,-1.3854588805265897,1.7860567572461077,-0.8240695235480593,0.03850751669492039,-1.0298252971717876,0.7455183348999752,-0.8114448492394161,-1.592903006126424,3.1303609413018654
126.0,128.5,60.78055762197855,34.113323759073275,4.049337487541671,0.05357154831290245,4.8,1289.0545122563049,1899.2353723404256,2621.882288111161,0.017835771276595743,0.4704710841178894,0.17020665109157562,0.14426836371421814,0.4165276054546585,16.72676282051282,0.03418803418803419,0.032178709226347184,101.44398511383694,398.4375,-1.0473215854185947,0.43278859009133885,-1.744565025081462,-1.1023450375298602,-0.9018799171531473,-2.239194402069173,2.918202469333442,-1.0626424378752486,-0.8445981995085747,-1.0194447283716928,-0.6106046430482105,-1.6840091910631472,0.25166700256094043,2.7637136707861125
125.0,127.5,54.606785218809925,13.478327087457425,3.801992801166732,0.03395626321434975,6.4,980.9280720909762,1376.9281914893618,2338.2032506228916,0.010902177526595745,0.43280932307243347,0.24012812972068787,0.10185351967811584,0.6291063561442324,19.23076923076923,0.07692307692307693,0.02694556677484406,39.047629016318794,257.8125,-1.1324046700627273,-1.8333904982849578,-1.5173117803722742,-2.555692658674169,-1.3635565414101156,-1.172025000140944,1.9548836089663706,-1.9248873996355027,0.03850751669492039,-1.965635607608656,-1.2873781555832005,0.21508650817502442,-1.5849218404715957,2.7456448015601214
0.0,2.5,52.50612066103413,6.735832767586511,2.8915446803785843,0.02890877053141594,1.6,1126.1016711831955,1738.065159574468,2560.367881140639,0.012701545877659575,0.40805545449256897,0.21828538179397583,0.12395229935646057,0.44811485920970284,17.427884615384617,0.038461538461538464,0.030879332052216553,28.85159504106377,164.0625,-1.4455859866311591,-2.573865521099242,-1.6809341165628893,-2.7931805930638642,-1.6713409575814278,-2.1324774618763502,2.67901262304692,-2.1467641204435295,-2.610809631915564,-1.519838306691025,-1.7321996966525266,-0.37817137853521526,-0.6280310838455402,2.67570926330848
113.0,115.5,81.03706747436493,21.75348809403802,5.271049518008618,0.08398261666297913,7.2,1363.2543606810157,2066.3896276595747,2619.909628474265,0.01964552859042553,0.567785918712616,0.22760139405727386,0.09902036935091019,0.6804959223972729,20.93349358974359,0.08547008547008547,0.0255599816253351,89.69667490489205,398.4375,-0.6270698726269749,-0.9245947701104396,-1.3627795739700264,-1.3759655887096656,-0.9018799171531473,-0.9585911197552982,1.6998245656599673,0.27416150531776123,0.4800603747966677,-0.7915927472740756,1.1381214016777566,-0.12514470961815968,-1.7075989927711765,2.5022460874810264
107.0,109.5,69.91588398271045,20.48482614815871,2.1280450236551145,0.08057738095521927,12.4,2219.5699102549765,5030.285904255319,4152.722132728012,0.022286402925531915,0.5581139922142029,0.16984961926937103,0.1058332771062851,0.030082515734796186,14.122596153846153,0.042735042735042736,0.03655690443036733,81.05709058779183,351.5625,-1.7082191034804843,-1.0639219150440344,-1.9809083995790173,-1.5772004059369604,-1.0557721252388035,-2.025760521683527,3.724142313984497,0.12447480344878403,3.350153952458026,1.837970500595622,0.9643190226171777,-1.693706320061755,-1.4125958952357687,2.433860235844414
