start_sec,end_sec,label,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range
0.0,2.5,neutral,52.50612066103413,6.735832767586511,2.8915446803785843,0.02890877053141594,1.6,1126.1016711831955,1738.065159574468,2560.367881140639,0.012701545877659575,0.40805545449256897,0.21828538179397583,0.12395229935646057,0.44811485920970284,17.427884615384617,0.038461538461538464,0.030879332052216553,28.85159504106377,164.0625
1.0,3.5,neutral,66.5562014282155,29.065011342002254,6.06695647221086,0.05874311551451683,6.0,1287.8283984504874,1832.712765957447,2714.827313515288,0.01770279255319149,0.49966686964035034,0.20216712355613708,0.1363774687051773,0.5303880806421521,18.629807692307693,0.05982905982905983,0.02761931574034287,87.22230983793865,328.125
2.0,4.5,neutral,77.42864714634378,28.228945821848615,5.867543027611001,0.07440318167209625,5.2,1423.5270816240522,1947.8058510638298,2931.9763875804174,0.01901595744680851,0.523626983165741,0.22633464634418488,0.1305512934923172,0.565043313510355,23.13701923076923,0.10256410256410256,0.022045735439347614,93.13280028156866,398.4375
3.0,5.5,neutral,80.66529832180407,23.88322571678512,6.779758669356773,0.07382788509130478,4.0,1564.2949009105844,2302.8590425531916,3130.004699421095,0.020048620345744683,0.5361948609352112,0.22016368806362152,0.12666970491409302,0.508956980402686,21.434294871794872,0.08547008547008547,0.023900806523996974,86.46717171131459,398.4375
4.0,6.5,neutral,75.67825627388383,20.903389760542368,4.136084989945041,0.07087717205286026,4.8,1336.2269625999995,1907.912234042553,2843.6088810940987,0.016788563829787235,0.5617642998695374,0.23623627424240112,0.09583572298288345,0.7214991649228172,22.736378205128204,0.07692307692307693,0.023843482376417466,88.90964059941788,421.875
5.0,7.5,neutral,78.69722341767356,33.81423799733244,9.847830036071553,0.06685736030340195,6.8,1683.8764085273806,2583.1117021276596,2820.107878561631,0.033537649601063826,0.5260043144226074,0.19707930088043213,0.13969972729682922,0.3214515701281514,28.14503205128205,0.09401709401709402,0.018377840110819166,107.3788781933487,468.75
6.0,8.5,neutral,77.80277032929685,34.47794775449339,9.806836390219111,0.06219547986984253,6.4,2039.3753842140932,3291.5226063829787,2976.3065049943402,0.04555144614361702,0.48164740204811096,0.19541087746620178,0.16630685329437256,-0.015591629597484502,30.64903846153846,0.1111111111111111,0.01685139313287649,102.95094549563947,468.75
7.0,9.5,neutral,62.44905273853879,15.563975260688151,4.490411006202427,0.04188205301761627,4.4,1856.7835070906654,3018.351063829787,2870.4728618085824,0.038528507313829785,0.4109390377998352,0.18689100444316864,0.18312780559062958,-0.07827364562516231,24.739583333333332,0.08547008547008547,0.02058497098336306,81.50755093579879,398.4375
8.0,10.5,neutral,64.49250521369372,25.77569075387805,5.943938771388102,0.05071626231074333,9.2,1105.4525828927697,1679.5212765957447,2402.026248661515,0.01293218085106383,0.4894029498100281,0.23797322809696198,0.11751089990139008,0.6511712930266792,23.13701923076923,0.09401709401709402,0.021614350815756214,122.04993952049617,398.4375
9.0,11.5,neutral,75.7079441856573,25.343367484206325,3.814356494296193,0.07213620096445084,4.8,1202.6527723802608,1889.7606382978724,2518.210827187428,0.014530003324468086,0.5603211522102356,0.19927938282489777,0.12459452450275421,0.6857823884219677,27.84455128205128,0.10683760683760683,0.01886611033233301,149.6258623063543,539.0625
10.0,12.5,neutral,80.30892352251342,19.825272065401897,2.902445894779874,0.07749725133180618,4.8,1770.8864790131681,3044.182180851064,2930.651847486871,0.030182014627659574,0.5396334528923035,0.19422709941864014,0.14454762637615204,0.2821816571635085,31.25,0.14102564102564102,0.016298835297820995,143.09329373277666,539.0625
11.0,13.5,neutral,70.83863843732134,15.781479497000495,3.852183956250582,0.058840177953243256,6.0,1736.0423662467874,2985.2393617021276,2832.577703441954,0.030950797872340424,0.4974454343318939,0.2288496494293213,0.1363218128681183,0.25807125228702965,32.25160256410256,0.1452991452991453,0.015583460130085106,132.81676473726878,539.0625
12.0,14.5,neutral,78.56183301633146,22.370575428044564,5.219336258193543,0.0710034966468811,6.0,1538.0513133713243,2410.6715425531916,2761.4923834468027,0.025594248670212767,0.5219233632087708,0.23989275097846985,0.12338951230049133,0.4714130664467363,36.95913461538461,0.1282051282051282,0.013789379071066345,144.87240825511344,609.375
13.0,15.5,neutral,81.9120314677982,27.133456916616343,7.567498618203299,0.07221384346485138,5.2,2056.325410417757,3361.934840425532,3115.8808902647615,0.04192777593085106,0.49331340193748474,0.21546930074691772,0.14724236726760864,0.056801780712663785,45.47275641025641,0.16666666666666666,0.01129772287849493,144.26025060413727,609.375
14.0,16.5,neutral,74.48661579199573,40.50119595829401,8.721355162061846,0.047919370234012604,4.4,1812.6308919696276,3000.6981382978724,2688.2161649856826,0.03810048204787234,0.4616296589374542,0.17977237701416016,0.1681395173072815,0.042730797064097825,31.450320512820515,0.11538461538461539,0.016681731535095178,125.0887565436534,421.875
15.0,17.5,neutral,74.8486551091228,35.476643852878816,5.6909297335629825,0.057734888046979904,6.0,1705.0005035577362,2785.472074468085,2623.6535346477003,0.03476354720744681,0.4584760069847107,0.22731100022792816,0.15490274131298065,0.17182062687266247,24.639423076923077,0.09401709401709402,0.021708748718904314,139.51591273017698,468.75
16.0,18.5,neutral,86.5640752558767,34.91405243484795,7.723597028086104,0.08599783480167389,7.2,1472.5829014611688,2121.5425531914893,2761.9026779850547,0.022926363031914893,0.497506707906723,0.26804935932159424,0.12925952672958374,0.5130719056690309,37.760416666666664,0.14102564102564102,0.013924580170919739,181.53639629492378,843.75
17.0,19.5,neutral,90.62263133124908,36.50380888360458,8.985192369811449,0.08542424440383911,8.0,1628.0237371214546,2341.9547872340427,3083.4132812572248,0.023447888962765957,0.510277509689331,0.2595973312854767,0.119431272149086,0.4770520041297722,43.87019230769231,0.1623931623931624,0.011560478544272787,178.449147831575,843.75
