start_sec,end_sec,label,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range,pitch_dist,pitch_std_dist,pitch_velocity_dist,energy_dist,speech_rate_dist,spectral_centroid_dist,spectral_rolloff_dist,spectral_bandwidth_dist,zcr_dist,low_band_ratio_dist,low_mid_ratio_dist,high_band_ratio_dist,thickness_score_dist,main_freq_velocity_mean_dist,main_freq_jump_ratio_dist,main_freq_smoothness_dist,main_freq_std_dist,main_freq_range_dist,neutral_profile_distance,baseline_like_score_v2
12.0,14.5,neutral,78.56183301633146,22.370575428044564,5.219336258193543,0.0710034966468811,6.0,1538.0513133713243,2410.6715425531916,2761.4923834468027,0.025594248670212767,0.5219233632087708,0.23989275097846985,0.12338951230049133,0.4714130664467363,36.95913461538461,0.1282051282051282,0.013789379071066345,144.87240825511344,609.375,0.19680700196222722,0.8123085156066978,0.4930378017588109,0.3440743117418745,0.16686590567798673,0.1486017972216031,0.07579578678705122,0.16577869539648116,0.05428765776899963,0.1685782063865266,0.2989815757673472,0.49336198775713397,0.23328859131756477,0.1307498900954717,0.008686262573835327,0.3239463534971399,0.09417439190288233,0.11005082322404493,3.071467318113181,-3.071467318113181
20.0,22.5,neutral,77.97580382996293,28.338208415709254,6.512417312519745,0.07430712133646011,7.2,1657.0046809582882,2800.8311170212764,2855.8051139629424,0.025004155585106384,0.5430280566215515,0.21517258882522583,0.1442577987909317,0.39347981729759307,38.16105769230769,0.13247863247863248,0.013866313561686126,158.75435449777925,468.75,0.2510678828864992,0.1569304072907109,0.04823615103651972,0.19885420763304043,0.4954633814746345,0.21667873957658823,0.43133640779841365,0.1058344519591084,0.11700271563249662,0.5478248771596402,0.3724280475719066,0.41024765675616426,0.05581429055815189,0.23983144755588215,0.11540320276665854,0.3097842230920175,0.22916650186822057,0.5717274474810132,3.3786913443158872,-3.3786913443158872
54.0,56.5,neutral,79.94644087381806,28.978725806404537,7.404995101580512,0.08849690109491348,8.0,1614.8156945701946,2608.1449468085107,2933.4423723174627,0.025895528590425532,0.546785295009613,0.21483536064624786,0.12215670943260193,0.4507574131448912,36.7588141025641,0.1282051282051282,0.014577989113433023,169.31110266956242,585.9375,0.06860512425805954,0.0865874293084742,0.2587980233827793,0.4248974250218837,0.9370162395763818,0.08712531954795444,0.18088155096326086,0.32942356849011206,0.022267645831650938,0.6153416196255771,0.38158730159392223,0.5467431104343036,0.15666392903560306,0.11256963051873684,0.008686262573835327,0.17877871582496233,0.47505625893194864,0.18699692726687298,3.5504432704875897,-3.5504432704875897
76.0,78.5,stressed,79.35712427798053,25.289039538424444,7.464951836012111,0.08631303161382675,6.8,1610.9859521781227,2458.344414893617,3085.316275379827,0.021820977393617023,0.5658196806907654,0.19400516152381897,0.142511785030365,0.4833386409143367,35.35657051282051,0.13247863247863248,0.015462271311431214,147.9844165359606,468.75,0.1231703888852182,0.491796598770914,0.27942229465940843,0.32889930683251556,0.27468695242376057,0.07536499375682375,0.013830247673592292,0.7668083052716136,0.4553107038257264,0.957385318560188,0.947343952386616,0.33464418666657375,0.27752796262888707,0.01469218651840846,0.11540320276665854,0.015999711218689962,0.021688911743079957,0.5717274474810132,3.7714092065771925,-3.7714092065771925
23.0,25.5,neutral,83.89398653848258,30.568984792936373,7.502385605855131,0.08348403126001358,8.0,1449.343457321995,2242.4202127659573,2691.5856827934044,0.021725398936170214,0.5278849005699158,0.21296365559101105,0.14437367022037506,0.4881543048876749,33.35336538461539,0.12393162393162394,0.01616631179993322,178.10093041613138,679.6875,0.29690108300238544,0.08805818453541352,0.29229898368305957,0.20454264876521253,0.9370162395763818,0.42100478953055576,0.29449006395108,0.3671044218578226,0.46546877657826463,0.2757057136515509,0.43242356950949556,0.4152649609424243,0.2953922548024727,0.19649478228575834,0.09803067761898719,0.11360033069135277,0.6797905742784879,0.12078748890443924,3.9902883830829143,-3.9902883830829143
158.0,160.5,stressed,87.6587248663034,28.296329123609578,6.819280285164051,0.1017506867647171,8.0,1583.8103374573736,2498.936170212766,2574.1418140060496,0.030026180186170214,0.5689522624015808,0.21442294120788574,0.12863905727863312,0.4873130072750698,34.25480769230769,0.11965811965811966,0.016325601152601454,152.44360638553962,656.25,0.6454810221395204,0.1615296799488371,0.05732038489839121,1.007504808020443,0.9370162395763818,0.008085549379408825,0.03893120508619403,0.7053334039303056,0.41673775921282763,1.0136771187543592,0.3927887806963626,0.2660534603546444,0.29227135881809213,0.11468361419045082,0.20474761781181006,0.14292237554356158,0.08217537401725937,0.04384138486161119,4.0350649368346465,-4.0350649368346465
104.0,106.5,neutral,74.61217366588303,33.83814780386989,8.0704442153891,0.05977793037891388,7.6,1524.6974000284367,2236.436170212766,2966.771536183284,0.02085480385638298,0.5058966875076294,0.22901980578899384,0.13563987612724304,0.46220924527061036,32.35176282051282,0.11965811965811966,0.017141963784842604,140.5161699750084,703.125,0.5625089169711938,0.44708459824264135,0.48770313594587505,0.8375256130525431,0.7162398105255079,0.18960882992019726,0.30226816509502896,0.4254089041577787,0.557995569693776,0.11941760972598843,0.0036679775393339935,0.03708630313251666,0.19914589541642755,0.2873960801694339,0.20474761781181006,0.29319872055513735,0.19564071041086725,0.1977335929472673,4.073064155798885,-4.073064155798885
75.0,77.5,stressed,79.86979466100614,22.70417164260457,5.769874080245884,0.08334220200777054,6.8,1682.4121200679965,2559.175531914894,2995.191864711294,0.02843459109042553,0.5547342896461487,0.2108662724494934,0.12771277129650116,0.4362430139800996,38.962339743589745,0.1581196581196581,0.013619359364040214,138.2226757642662,445.3125,0.07570185446096238,0.7756722719751556,0.3036605533530346,0.19830814554171308,0.27468695242376057,0.2946995908137474,0.11723075660194626,0.5072571852766425,0.24758376511621236,0.758183294362906,0.48938934571738585,0.30616221329012544,0.10282099712851123,0.3125524858628222,0.7557048439235957,0.35524364607615466,0.2490612074360616,0.6486735515238413,4.82699415435538,-4.82699415435538
60.0,62.5,neutral,80.27862117765703,33.97646148224952,8.494058094533742,0.06994625926017761,7.2,1657.1983067208482,2504.122340425532,2939.8520159770087,0.027379072473404254,0.48894089460372925,0.2584473788738251,0.1395738273859024,0.36709450020576373,39.66346153846154,0.1111111111111111,0.01313355856728659,158.48658846496377,843.75,0.03784830133651351,0.4622744996789463,0.6334203375721825,0.39054815117319247,0.4954633814746345,0.2172733231846074,0.04567222607761672,0.3478828313941709,0.13540330950122495,0.42410945638547703,0.8029327897275532,0.20742881304574026,0.1536938386808587,0.37618339438139486,0.41818149819745615,0.44467004221022094,0.22292964524461567,0.6594102172042356,4.842903418745724,-4.842903418745724
49.0,51.5,neutral,97.23749497872106,46.2428626798066,7.83651522318072,0.09201231598854065,6.8,1796.5001076984593,2797.1409574468084,2834.9677586650732,0.03339012632978723,0.5007104873657227,0.22813300788402557,0.1333778202533722,0.26590949106942485,35.35657051282051,0.1282051282051282,0.015178967683619501,162.6891220984269,703.125,1.5323865151775664,1.8093966885463058,0.4072348609386991,0.5794273625322305,0.27468695242376057,0.6450395787372833,0.42653991209297865,0.04582452939566005,0.7742577545684663,0.212612478720867,0.020417812985088,0.06086210796458071,0.5290519568565062,0.01469218651840846,0.008686262573835327,0.06815035118513063,0.32081584631422483,0.1977335929472673,4.856951469348378,-4.856951469348378
