label,pitch,pitch_std,pitch_velocity,energy,speech_rate,spectral_centroid,spectral_rolloff,spectral_bandwidth,zcr,low_band_ratio,low_mid_ratio,high_band_ratio,thickness_score,main_freq_velocity_mean,main_freq_jump_ratio,main_freq_smoothness,main_freq_std,main_freq_range
neutral,80.6874,29.7672,6.6526,0.0788,6.3023,1586.4434,2468.9846,2819.056,0.0261,0.5125,0.2289,0.1348,0.4085,35.5185,0.1279,0.0155,148.9156,642.8961
tired,69.3642,22.9731,4.8731,0.0608,6.38,1395.497,2180.7098,2728.2805,0.0196,0.519,0.2068,0.1154,0.5212,21.3341,0.0729,0.0254,85.5561,400.7812
